coaster_name,Length,Location,Status,Manufacturer,Height restriction,Model,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Muskrat Scrambler,"1,183.4 ft (360.7 m)",Six Flags New Orleans,Closed,L&T Systems,48 in (122 cm),Wild Mouse 30x20,Chain lift hill,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Cajun Country,,700 riders per hour,,,,,,,Wild Mouse,,"August 21, 2005",,,,,,,,,,,,,2000,30.0515,-89.9357,Steel,5/20/2000,25 mph ,40 km/h,25,mph,25,47.6,ft,,0,
Possessed (roller coaster),704 ft (215 m),Other,,Intamin,52–78 in (132–198 cm),Twisted Impulse Coaster,LIM launch,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,950 riders per hour,Werner Stengel,90°,,,Fast Lane available,Skyscraper,Shuttle roller coaster,,2006,,,,,,,,,,,,,2000,,,Steel,,70 mph ,110 km/h,70,mph,70,180,ft,,0,3.7
Ravine Flyer III,,Waldameer Park,Operating,E&F Miler Industries,40 in (102 cm),,Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,42.109,-80.1565,Steel,1/1/2000,,,,,,,,,0,
RC-48,,Morey's Piers,Removed,Pinfari,48 in (122 cm),RC-48,Cable lift hill,,3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Surfside Pier,,,,,,,,,,,2004,,,,,,,,,,,,,2000,38.9888,-74.8023,Steel,1/1/2000,,,,,,,,,0,
Road Runner Express (Six Flags Kentucky Kingdom),"1,213.9 ft (370.0 m)",Other,,Maurer AG,46 in (117 cm),Wilde Maus Classic,,,,DC Universe,1:32,900 riders per hour,Ingenieur Buro Stengel GmbH,46°,,,,The Vampire,,,2009,,"Professor John's Flying Machines, and Cyclos",,Flash Pass Available,,,,,,,,,2000,,,Steel,,28 mph ,45 km/h,28,mph,28,49.25,ft,,0,
Road Runner Express (Six Flags New Orleans),679.2 ft (207.0 m),Other,,Vekoma,36 in (91 cm),Junior Coaster (207m),Chain lift hill,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,0:44,780 riders per hour,,,,,,,,,"August 21, 2005",,,,,Must transfer from wheelchair,,,,,,,,2000,,,Steel,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Road Runner Rollercoaster,"335 m (1,099 ft)",Warner Bros. Movie World,,Vekoma,,Junior Coaster (335m),,AU$9 million,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,1000 riders per hour,,,,,,Looney Tunes Musical Revue,,,,,,,,,,,,,,,Correcaminos Bip Bip,2000,,,Steel,,45.9 km/h ,28.5 mph,45.9,km/h,28.5,13,m,42.7,0,
Roller Coaster (Papéa Parc),"1,181.1 ft (360.0 m)",Other,,Zierer,,Large Tivoli,,,Single train with 20 cars. Riders are arranged 2 across in a single row for a total of 40 riders per train.,,,"1,250 riders per hour",Werner Stengel,,25 ft (7.6 m),,,,Double Figure Eight,,16-Sep-07,,,,,,,,,,,,Beaver Land Mine Ride,2000,41.3535,-81.3756,Other,,22.4 mph ,36.0 km/h,22.4,mph,22.4,26.3,ft,,0,
Roller Coaster (Suoi Tien Park),"1,200 m (3,900 ft)",Suoi Tien Amusement Park,Operating,Vekoma,48 in (122 cm),,Drive tire,VND 30 billions,,Đại Cung Lạc Cảnh Hồ,2:30,1600 riders per hour,,45°,12 m (39 ft),,,,,,,,,,,,,,,,,,,2000,10.8607,106.8044,Steel,1/1/2000,70 km/h ,43 mph,70,km/h,43.5,30,m,98.4,0,2
Son of Beast,"7,032 ft (2,143 m)",Kings Island,Removed,Roller Coaster Corporation of America,48 in (122 cm),,Chain lift hill,"$20,500,000 USD (approximately)",2 Gerstlauer trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Action Zone,2:20,1600 riders per hour,Werner Stengel,55.7°,214 ft (65 m),,,,Terrain roller coaster,,"June 16, 2009",,Banshee,,,,,,,,,,,2000,39.3461,-84.2647,Wood,4/28/2000,78.4 mph ,126.2 km/h,78.4,mph,78.4,218,ft,,1,4.5
Speed – The Ride,"1,365 ft (416 m)",Other,,Premier Rides,54 in (137 cm),,,,,Nascar Café,0:45,1600 riders per hour,Werner Stengel,90°,,,,,,,1-May-11,,,,,,,,,,0 to 45 to 70mph,,,2000,,,Steel,4/28/2000,70 mph ,110 km/h,70,mph,70,224,ft,,1,3.5
Speed of Sound (roller coaster),935 ft (285 m),Walibi Holland,Operating,Vekoma,48 in (122 cm),Boomerang,Chain Lift Hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,W.A.B Plaza,1:48,760 riders per hour,Vekoma,56°,,,,,,,,,,,,,,,,,,,,2000,52.4406,5.7681,Steel,4/22/2000,47 mph ,76 km/h,47,mph,47,116.5,ft,,3,5.2
Steel Dragon 2000,"2,479 m (8,133 ft)",Nagashima Spa Land,Operating,D. H. Morgan Manufacturing,140–185 cm (4 ft 7 in–6 ft 1 in),,One lift hill with two chains,"$52,000,000 USD",Multiple trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,4:00,,Steve Okamoto,68°,93.5 m (307 ft),,,,Out and back,,,,,,,,,,,,,,,2000,35.0312,136.7301,Steel,8/1/2000,152.9 km/h ,95.0 mph,152.9,km/h,95,97,m,318.2,0,
Superman – Ride of Steel,"5,400 ft (1,600 m)",Other,,Intamin,54–76 in (137–193 cm),Mega Coaster,Chain lift hill,"$12,000,000 USD",2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Gotham City,2:02,1100 riders per hour,Werner Stengel,68°,205 ft (62 m),,,,,,,,,,,,,,,,,,,2000,,,Steel,,73 mph ,117 km/h,73,mph,73,208,ft,,0,
Superman The Ride,"5,400 ft (1,600 m)",Six Flags New England,Operating,Intamin,54–76 in (137–193 cm),Mega Coaster,Chain lift hill,"Approx: $12,000,000",2 trains with 9 cars. Riders are arranged 2 across in 2 rows for a total of 36 riders per train.,DC Universe,2:35,1300 riders per hour,Werner Stengel,72°,221 ft (67 m),,,Riverside Park Speedway,Out and BackTwister,,,,,,,,,,,Flash Pass available,,,,2000,42.0386,-72.6114,Steel,5/5/2000,77 mph ,124 km/h,77,mph,77,208,ft,,0,3.6
Superman: Krypton Coaster,"4,025 ft (1,227 m)",Six Flags Fiesta Texas,Operating,Bolliger & Mabillard,54 in (137 cm),Floorless Coaster - Custom,Chain lift hill,$20 million,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Spassburg,2:35,1600 riders per hour,Werner Stengel,58°,163 ft (50 m),,,,Terrain,,,,,,,,,,,Flash Pass available,,,,2000,29.5952,-98.61,Steel,3/11/2000,70 mph ,110 km/h,70,mph,70,168,ft,,6,3.8
Svalbard Ekspressen,679.2 ft (207.0 m),Kongeparken,Operating,Vekoma,,Junior Coaster (207m),,,,,0:44,780 riders per hour,,,,,,,,,,,,,,,,,,,,,,2000,58.7801,5.8405,Steel,1/1/2000,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Untamed (Walibi Holland),3559.7 ft,Walibi Holland,Operating,Rocky Mountain Construction,120 cm (3 ft 11 in),IBox Track,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Wilderness,1:46,900 riders per hour,Alan Schilke,80°,116.1 ft,,,Robin Hood,,,,,,,,,,,,,,,,2000,52.4428,5.7608,Steel,7/1/2019,57.2 mph,,57.2,mph,57.2,119.8,ft,,5,
Villain (roller coaster),"3,980 ft (1,210 m)",Geauga Lake,Removed,Custom Coasters International,48 in (122 cm),,Lift Hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:30,,,,108 ft (33 m),,,,Out and Back,,"September 16, 2007",,,,,,,,,,,,,2000,41.3528,-81.3725,Other,5/5/2000,59 mph ,95 km/h,59,mph,59,120,ft,,0,
Woodstock Express (Dorney Park),262.5 ft (80.0 m),Dorney Park & Wildwater Kingdom,Operating,Zamperla,42 in (107 cm),Family Gravity Coaster 80STD,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Planet Snoopy,,,,,8 ft (2.4 m),,,,,,,,,,,,,,,,,,,2000,40.5793,-75.5326,Steel,5/5/2000,13 mph ,21 km/h,13,mph,13,13,ft,,0,
Xpress: Platform 13,"3,267 ft (996 m)",Walibi Holland,Operating,Vekoma,120 cm (3 ft 11 in),LSM Launch,LSM,,,Hollywood The Main Street,100 seconds,1200 riders per hour,,,,,,,,,,,,,,,,,,,0 − 55.9 mph in 2.8 seconds,,,2000,52.4392,5.7639,Steel,4/1/2000,55.9 mph ,90.0 km/h,55.9,mph,55.9,85,ft,,3,
Zydeco Scream,935 ft (285 m),Other,,Vekoma,48 in (122 cm),Boomerang,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Pontchartrain Beach,1:48,760 riders per hour,Arrow Dynamics,,,,,,,,,,,,,,,,,,,,,2000,,,Steel,,47 mph ,76 km/h,47,mph,47,116.5,ft,,3,5.2
Batwing (roller coaster),"3,340 ft (1,020 m)",Six Flags America,Operating,Vekoma,54–78 in (137–198 cm),Flying Dutchman (1018m),,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Gotham City,2:02,850 riders per hour,Vekoma,33°,103 ft (31 m),,,,,,,,,,Flash Pass Available,,,,,,,,,2001,38.9103,-76.7786,Steel,6/16/2001,50 mph ,80 km/h,50,mph,50,115,ft,,5,4.3
California Screamin',"6,072 ft (1,851 m)",Disney California Adventure,Operating,Intamin,48 in (122 cm),Looping Coaster,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,,2001,33.8046,-117.9218,Steel,2/8/2001,55 mph ,89 km/h,55,mph,55,122,ft,,1,
Cheetah (Wild Adventures),"2,680 ft (820 m)",Wild Adventures,Removed,Custom Coasters International,48 in (122 cm),Steel frame,Chain lift hill,"US$4,500,000",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Main Park,1:04,1200 riders per hour,,,90 ft (27 m),,,,Out and back,,15-Mar-20,,,,,,,,,,,,,2001,30.7196,-83.3257,Wood,6/16/2001,52 mph ,84 km/h,52,mph,52,92,ft,,0,
Colossos - Kampf der Giganten,"1,344 m (4,409 ft)",Heide Park,Operating,Intamin,55 in (140 cm),Wooden Coaster (prefabricated track),Chain lift hill,,,Land der Vergessenen,2:25,"1,030 riders per hour",Werner Stengel,61°,48.5 m (159 ft),,,,Out and back,,,,,,,,,,,,,,,2001,53.0231,9.8833,Wood,4/13/2001,110 km/h ,68 mph,110,km/h,68.4,50,m,164,0,4.5
Cornball Express,"2,100 ft (640 m)",Indiana Beach,Operating,Custom Coasters International,44 in (112 cm),,Chain,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,51 Seconds,,,,50 ft (15 m),,,,Wood,,,,,,,,,,,,,,,2001,40.7898,-86.771,Wood,5/18/2001,45 mph ,72 km/h,45,mph,45,55,ft,,0,4.7
Déjà Vu (roller coaster),"367 m (1,204 ft)",Other,In Production,Vekoma,,,,,,,About 1:32 minutes,870 riders per hour,,,54 m (177 ft),,,,,,,,,,,,,,Over-the-shoulder,,,,,2001,,,Other,,105.6 km/h ,65.6 mph,105.6,km/h,65.6,59,m,193.6,0,
Do-Dodonpa,"1,244 m (4,081 ft)",Fuji-Q Highland,Closed,S&S – Sansei Technologies,130 cm (4 ft 3 in),Air-Launched Coaster,Compressed air launch,,4 trains with 4 cars. Riders are arranged 2 across in a single row for a total of 8 riders per train.,,,80 riders per hour,,,,,,,,,,,,,,,,,,,0 to 180 km/h (0 to 112 mph) in 1.6 seconds,,,2001,35.4877,138.7823,Steel,12/21/2001,180 km/h ,110 mph,180,km/h,111.8,49,m,160.8,1,
Expedition GeForce,"4,002.7 ft (1,220.0 m)","Holiday Park, Germany",Operating,Intamin,55 in (140 cm),,,,,,1:15,1300 riders per hour,Werner Stengel,82°,168 ft (51 m),,,,,,,,,,,,,,,,,,,2001,49.32,8.295,Steel,6/18/2001,74.6 mph ,120.1 km/h,74.6,mph,74.6,174,ft,,0,4.5
Flying Ace Aerial Chase,"1,122 ft (342 m)",Kings Island,Operating,Vekoma,44–76 in (112–193 cm),Suspended Family Coaster 342m,Tire propelled lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Planet Snoopy,1:30,650 riders per hour,Peter Clerx,,,,Fast Lane available,,,,,,,,,Must transfer from wheelchair,,,,,,,,2001,,,Steel,1/1/2001,26 mph ,42 km/h,26,mph,26,48.6,ft,,0,2.2
Giant Inverted Boomerang,"367 m (1,204 ft)",Other,In Production,Vekoma,,,,,,,About 1:32 minutes,870 riders per hour,,,54 m (177 ft),,,,,,,,,,,,,,Over-the-shoulder,,,,,2001,,,Other,,105.6 km/h ,65.6 mph,105.6,km/h,65.6,59,m,193.6,0,
The Gold Coaster,"900 m (3,000 ft)",Other,,Arrow Dynamics,120–205 cm (3 ft 11 in–6 ft 9 in),,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,,2001,,,Steel,,85 km/h ,53 mph,85,km/h,52.8,40,m,131.2,2,3
Goofy's Sky School,"1,200 ft (370 m)",Disney California Adventure,Operating,Mack Rides,42 in (107 cm),,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Paradise Gardens Park,1:45,,Walt Disney Imagineering,,,,,,,,"October 12, 2010(as Mulholland Madness)",,,,,Must transfer from wheelchair,,Single rider line available,,,,,,2001,33.8063,-117.923,Steel,2/8/2001,27 mph ,43 km/h,27,mph,27,55,ft,,0,
Hypersonic XLC,"1,560 ft (480 m)",Kings Dominion,Removed,S&S – Sansei Technologies,54 in (137 cm),Thrust Air 2000,Pneumatic,"$15,000,000 USD",,The Grove,16 seconds,"1,380 riders per hour",S&S – Sansei Technologies,90°,133 ft (41 m),,,,out-and-back,,28-Oct-07,,El Dorado WindSeeker,,,,,,,,0-80 in 1.8 seconds,,,2001,37.8372,-77.446,Steel,3/24/2001,80 mph ,130 km/h,80,mph,80,165,ft,,0,4
Incredicoaster,"6,072 ft (1,851 m)",Disney California Adventure,Operating,Intamin,48 in (122 cm),Looping Coaster,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,,2001,33.8046,-117.9218,Steel,2/8/2001,55 mph ,89 km/h,55,mph,55,122,ft,,1,
Insane Speed,"2,677.17 ft (816.00 m)",Janfusun Fancyworld,Operating,Bolliger & Mabillard,54 in (137 cm),Floorless Coaster,Chain lift hill,,,,,1200 riders per hour,Werner Stengel,,131.25 ft (40.01 m),,,,,,,,,,,,,,,,,,,2001,23.6187,120.5758,Steel,1/1/2001,53.4 mph ,85.9 km/h,53.4,mph,53.4,,,,4,4
Lego Technic Test Track,"400 m (1,300 ft)",Other,,Mack Rides,,Wild Mouse (large park),Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,Das große LEGO-Rennen,2001,,,Steel,,56.3 km/h ,35.0 mph,56.3,km/h,35,15.8,m,51.8,0,
MP Xpress,"689 m (2,260 ft)",Movie Park Germany,Operating,Vekoma,,Suspended Looping Coaster (689m Standard),,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,The Old West,1:36,1040 riders per hour,,,,,,,,,,,,,,,,,,,,,,2001,51.6246,6.9733,Steel,4/6/2001,80 km/h ,50 mph,80,km/h,49.7,33.3,m,109.3,5,
Mulholland Madness,"1,200 ft (370 m)",Disney California Adventure,Operating,Mack Rides,42 in (107 cm),,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Paradise Gardens Park,1:45,,Walt Disney Imagineering,,,,,,,,"October 12, 2010(as Mulholland Madness)",,,,,Must transfer from wheelchair,,Single rider line available,,,,,,2001,33.8063,-117.923,Steel,2/8/2001,27 mph ,43 km/h,27,mph,27,55,ft,,0,
Nitro (Six Flags Great Adventure),"5,394 ft (1,644 m)",Six Flags Great Adventure,Operating,Bolliger & Mabillard,54 in (137 cm),Hyper Coaster,Chain lift hill,"$20,000,000 ",3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Adventure Seaport,2:20,1800 riders per hour,,68°,215 ft (66 m),,,,L-shaped Out and Back,,,,,,Flash Pass Available,,,,,,,,,2001,40.1356,-74.4444,Steel,4/7/2001,80 mph ,130 km/h,80,mph,80,230,ft,,0,4.3
Phantom's Revenge,"3,200 ft (980 m)",Kennywood,Operating,D. H. Morgan Manufacturing,48 in (122 cm),Hyper Coaster,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,,52°,228 ft (69 m),,,Laser Loop,Terrain Mega Coaster,,,,,,,,,,,,,,,2001,40.389,-79.866,Steel,5/10/1991,85 mph ,137 km/h,85,mph,85,160,ft,,0,3.5
Silver Streak (Canada's Wonderland),"1,122.1 ft (342.0 m)",Canada's Wonderland,Operating,Vekoma,44 in (112 cm),Suspended Family Coaster,Booster Wheel Lift Hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,KidZville,1:16,650 riders per hour,,,,,,,,,,,,,,,,,,,,,,2001,43.8424,-79.5462,Steel,5/6/2001,26 mph ,42 km/h,26,mph,26,48.6,ft,,0,
Talon (roller coaster),"3,110 ft (950 m)",Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,54 in (137 cm),Inverted Coaster,Chain lift hill,"$13,000,000 USD",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:00,1200 riders per hour,Werner Stengel,50°,120 ft (37 m),,Fast Lane available,,,,,,,,,,,,,,,,,2001,40.579,-75.53,Steel,5/5/2001,58 mph ,93 km/h,58,mph,58,135,ft,,4,4.5
The Flash: Vertical Velocity,630 ft (190 m),Six Flags Discovery Kingdom,SBNO (Standing But Not Operating),Intamin,54–75 in (137–191 cm),Shuttle coaster,LIM,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,DC Universe,1:10,900 riders per hour,Werner Stengel,90°,150 ft (46 m),,,,Twisted Impulse,,,,,,Flash Pass Available,,,,,,0-60 mph in 4.0 seconds,,,2001,38.1382,-122.2323,Steel,6/8/2001,65 mph ,105 km/h,65,mph,65,150,ft,,1,
Thundercoaster (TusenFryd),"950 m (3,120 ft)",TusenFryd,Operating,Vekoma,,,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,2:00,,,57.3°,32 m (105 ft),,,,,,,,,,,,,,,,,,,2001,59.7472,10.7773,Wood,5/1/2001,93 km/h ,58 mph,93,km/h,57.8,,,,0,2.4
Titan (Six Flags Over Texas),"5,312 ft (1,619 m)",Six Flags Over Texas,Operating,Giovanola,48 in (122 cm),Hyper Coaster,Chain lift hill,,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Texas,3:30,1600 riders per hour,Werner Stengel,,255 ft (78 m),"April 26, 2001",,,Twister,,,,,Official website,Flash Pass Available,,,,,,,,,2001,32.7556,-97.0742,Steel,4/27/2001,85 mph ,137 km/h,85,mph,85,245,ft,,0,
Vertical Velocity (roller coaster),630 ft (190 m),Six Flags Great America,Temporarily closed,Intamin,54–80 in (137–203 cm),Shuttle Coaster,LIM,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Yankee Harbor,,1100 riders per hour,,,,,,,Twisted Impulse,,,,,,Flash Pass Available,Must transfer from wheelchair,,,,,,,,2001,42.3679,-87.9324,Steel,5/18/2001,70 mph ,110 km/h,70,mph,70,186,ft,,0,
Vonkaputous,"1,082.8 ft (330.0 m)",Linnanmäki,Removed,Premier Rides,,Liquid Coaster,,"22,000,000 FIM (€4,600,000; inflation-adjusted)",,,1:00,,Werner Stengel,,,,,,,,22-Oct-17,,Taiga,,,,,,,,,,,2001,60.1883,24.9381,Steel,5/12/2001,37.3 mph ,60.0 km/h,37.3,mph,37.3,79,ft,,0,2.5
Wildfire (Silver Dollar City),"3,073 ft (937 m)",Silver Dollar City,Operating,Bolliger & Mabillard,52 in (132 cm),Sitting Coaster,Chain lift hill,US$14 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Hugo's Hill Street,2:16,"1,300 riders per hour",Werner Stengel,63°,155 ft (47 m),,,,Custom,,,,,,,,,,,,,,,2001,36.6686,-93.3425,Steel,4/4/2001,66 mph ,106 km/h,66,mph,66,120,ft,,5,3.6
Wile E. Coyote's Grand Canyon Blaster,,"Arlington, Texas, U.S.",Operating,,,,,,,,,,,,,,,,,,,"August 4, 1961",,Official website,,,,,,,,,,2001,32.7557,-97.0702,Other,,,,,,,,,,0,
X-Flight (Geauga Lake),"3,340 ft (1,020 m)",Other,,Vekoma,54–80 in (137–203 cm),Flying Dutchman (1018m),Chain lift hill,US$15 million,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,,2:10,520 riders per hour,,33°,,24-May-01,,,,,,,Orion[1],,,,,,,,,,,2001,,,Steel,,50 mph ,80 km/h,50,mph,50,115,ft,,5,4.3
Apple Zapple (Kings Dominion),"1,312 ft (400 m)",Kings Dominion,Operating,Mack Rides,44 in (112 cm),Wild Mouse / Large Park,Chain lift hill,,10 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Candy Apple Grove,,960 riders per hour,,,50 ft (15 m),,,,Wild Mouse,,,,,,,,,,,,,,,2002,,,Steel,3/22/2002,35 mph ,56 km/h,35,mph,35,52,ft,,0,
Avalancha (roller coaster),,Xetulul Theme Park,Operating,Intamin,,Muti-loop,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,,Steel,1/1/2002,54.7 mph ,88.0 km/h,54.7,mph,54.7,,,,8,
Batman: The Dark Knight (roller coaster),"2,850 ft (870 m)",Six Flags New England,Operating,Bolliger & Mabillard,54 in (137 cm),Floorless Coaster[1],Chain lift hill,"$9,500,000[2]",2 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Gotham City,2:20,,,,,,,,Twister,,,,,,,,,Single rider line available,,Flash Pass available,,,,2002,42.0353,-72.6131,Steel,4/20/2002,55 mph ,89 km/h,55,mph,55,117.8,ft,,5,
Batman: Arkham Asylum (roller coaster),,Parque Warner Madrid,Operating,Bolliger & Mabillard,52 in (132 cm),Inverted Coaster (Batman),Chain lift hill,,,DC Super Heroes World,1:15,,,,,,,,,,,,,,,,,,,,,,,2002,40.2282,-3.5924,Steel,4/6/2002,49.7 mph ,80.0 km/h,49.7,mph,49.7,105,ft,,5,4.9
Colossus (Thorpe Park),"2,789 ft (850 m)",Thorpe Park,Operating,Intamin,55–77[1] in (140–196 cm),Multi Inversion Coaster,Chain lift hill,"£13,500,000",2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost City,1:45,,Werner Stengel,,97 ft (30 m),,,,Intamin Tri Track,Fastrack available,,,,,,,,,,,,Over the shoulder restraints,,2002,51.4032,-0.513,Steel,3/22/2002,45 mph ,72 km/h,45,mph,45,98,ft,,10,4.2
Escape from Madagascar,"342 m (1,122 ft)",Dreamworld,Operating,Vekoma,110 cm (3 ft 7 in),Suspended Family Coaster (342m),Drive tire lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,DreamWorks Experience - Madagascar Madness,1:30,650 riders per hour,,,,,,,,,,,,,,,,,,,,,,2002,-27.8639,153.3169,Steel,12/26/2002,41.8 km/h ,26.0 mph,41.8,km/h,26,14.9,m,48.9,0,2.2
Flying Coaster (Elitch Gardens),"1,282.8 ft (391.0 m)",Other,,Zamperla,52 in (132 cm),Volare,Spiral Lift,,7 trains with a single car. Riders are arranged 4 across in a single row for a total of 4 riders per train.,Scream Zone,0:48,500 riders per hour,Werner Stengel,31°,17 ft (5.2 m),,,,,,2007,,,,,,,,,,,,,2002,,,Steel,,25.7 mph ,41.4 km/h,25.7,mph,25.7,50,ft,,2,3.3
Galactica (roller coaster),"840 m (2,760 ft)",Alton Towers,Operating,Bolliger & Mabillard,140 cm (4 ft 7 in),Flying Coaster,Chain lift hill,£12 million,3 trains with 7 cars. Riders are arranged 4 across in a single row for a total of 28 riders per train.,Forbidden Valley,1:40,"1,500 riders per hour",John Wardley,,,,,,Custom,,,,,,,,,,,,,,,2002,52.9859,-1.8821,Steel,3/16/2002,75 km/h ,47 mph,75,km/h,46.6,20,m,65.6,2,3.5
Goliath (Walibi Holland),"1,214 m (3,983 ft)",Walibi Holland,Operating,Intamin,140 cm (4 ft 7 in),,Cable lift hill,,2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Speed Zone,1:32,,Ing.-Büro Stengel GmbH,70°,46.31 m (151.9 ft),,,,,,,,,,,,,,,,,,,2002,52.4386,5.7614,Steel,3/29/2002,106 km/h ,66 mph,106,km/h,65.9,47.17,m,154.8,0,
Jubilee Odyssey,"2,924 ft (891 m)",Fantasy Island (UK amusement park),Operating,Vekoma,51 in (130 cm),SLC (Custom),Chain Lift Hill,£28 million,10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,2:52,350 riders per hour,,75°,141 ft (43 m),,,,,,,,,,,,,,,,,,,2002,53.1922,0.3461,Steel,5/23/2002,63 mph ,101 km/h,63,mph,63,167,ft,,5,4.8
Lego Technic Test Track,"400 m (1,300 ft)",Other,,Mack Rides,,Wild Mouse (large park),Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,Das große LEGO-Rennen,2002,,,Steel,,56.3 km/h ,35.0 mph,56.3,km/h,35,15.8,m,51.8,0,
Lost Coaster of Superstition Mountain,"1,400 ft (430 m)",Indiana Beach,Operating,Custom Coasters International,48 in (122 cm),,Elevator Lift,,3 trains with 2 cars. Riders are arranged 2 across in 2 rows for a total of 8 riders per train.,,,,,,,,,Superstition Mountain Mine Ride,,,,,,,,,,,,,,,,2002,40.7886,-86.77,Wood,6/6/2002,20 mph ,32 km/h,20,mph,20,35,ft,,0,
